,k_means,pso
0,0.7081462655401595,0.606430998845548
1,0.6465653848597095,0.6417605255279697
2,0.6465653848597095,0.5930120814573737
3,0.6482198686270392,0.5873454760690017
4,0.6465653848597095,0.5873484857926036
5,0.6465653848597095,0.6325542910425992
6,0.6465653848597095,0.587395076525114
7,0.6465653848597095,0.601434165220854
8,0.7081462655401594,0.5992974392959078
9,0.6465653848597095,0.6295334180637275
10,0.6482198686270392,0.5877662592978304
11,0.6482198686270392,0.5884849386714426
12,0.7081462655401594,0.608541851549583
13,0.6482198686270392,0.632310224472842
14,0.6482198686270392,0.6415906286192338
15,0.6482198686270392,0.6002663755652834
16,0.7157521330040496,0.63098166781236
17,0.6482198686270392,0.5936207916766604
18,0.6465653848597095,0.6307819754256959
19,0.6465653848597095,0.6245588814765994
20,0.6482198686270392,0.6295045337087832
21,0.6465653848597095,0.6059612833182523
22,0.6482198686270392,0.5298230858796591
23,0.6465653848597095,0.5923216381690501
24,0.6482198686270392,0.5914568102742219
25,0.6482198686270392,0.5961959727796851
26,0.6465653848597095,0.526014305955743
27,0.6482198686270392,0.5293337798709707
28,0.6482198686270392,0.6300430024567772
29,0.7081462655401594,0.6014233862837973
